   ,46AE56,1C5238,FFFFFF,45ABE3,317EB6,365A7E,010331,F8CC4F,F0A438,E77632,CB3035,DF427E,630A31,703B0F,839699,5F6367,314245,18211F,000000
46AE56,F,G,F,F,F,F,AAA,F,F,F,F,F,AA,G,F,F,G,AA,AAA
1C5238,G,F,AAA,G,F,F,F,AA,G,G,F,F,F,F,F,F,F,F,F
FFFFFF,F,AAA,F,F,G,AAA,AAA,F,F,F,AA,G,AAA,AAA,G,AA,AAA,AAA,AAA
45ABE3,F,G,F,F,F,F,AAA,F,F,F,F,F,AA,G,F,F,G,AA,AAA
317EB6,F,F,G,F,F,F,AA,F,F,F,F,F,F,F,F,F,F,G,AA
365A7E,F,F,AAA,F,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F
010331,AAA,F,AAA,AAA,AA,F,F,AAA,AAA,AA,G,AA,F,F,AA,G,F,F,F
F8CC4F,F,AA,F,F,F,AA,AAA,F,F,F,G,F,AAA,AA,F,G,AA,AAA,AAA
F0A438,F,G,F,F,F,G,AAA,F,F,F,F,F,AA,G,F,F,AA,AAA,AAA
E77632,F,G,F,F,F,F,AA,F,F,F,F,F,G,G,F,F,G,AA,AAA
CB3035,F,F,AA,F,F,F,G,G,F,F,F,F,F,F,F,F,F,G,G
DF427E,F,F,G,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,G,AA
630A31,AA,F,AAA,AA,F,F,F,AAA,AA,G,F,G,F,F,G,F,F,F,F
703B0F,G,F,AAA,G,F,F,F,AA,G,G,F,F,F,F,F,F,F,F,F
839699,F,F,G,F,F,F,AA,F,F,F,F,F,G,F,F,F,G,AA,AA
5F6367,F,F,AA,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,G
314245,G,F,AAA,G,F,F,F,AA,AA,G,F,F,F,F,G,F,F,F,F
18211F,AA,F,AAA,AA,G,F,F,AAA,AAA,AA,G,G,F,F,AA,F,F,F,F
000000,AAA,F,AAA,AAA,AA,F,F,AAA,AAA,AAA,G,AA,F,F,AA,G,F,F,F
