   ,FFFFFF,231F20,00131D,495961,758D9A,9FB1BD,E1E8EC,002E3B,005C84,74C9E5,3CBAC6,B3DBD2,4BB694,1E8765,C1D100,FCBC00,EF7D00,E73037,E73238,D5007F,8D3970
FFFFFF,F,AAA,AAA,AAA,G,F,F,AAA,AAA,F,F,F,F,G,F,F,F,G,G,AA,AAA
231F20,AAA,F,F,F,AA,AAA,AAA,F,F,AAA,AAA,AAA,AA,G,AAA,AAA,AA,G,G,G,F
00131D,AAA,F,F,F,AA,AAA,AAA,F,F,AAA,AAA,AAA,AAA,G,AAA,AAA,AA,G,G,G,F
495961,AAA,F,F,F,F,G,AA,F,F,G,G,AA,F,F,G,G,F,F,F,F,F
758D9A,G,AA,AA,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F
9FB1BD,F,AAA,AAA,G,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,G
E1E8EC,F,AAA,AAA,AA,F,F,F,AAA,AA,F,F,F,F,G,F,F,F,G,G,G,AA
002E3B,AAA,F,F,F,G,AA,AAA,F,F,AAA,AA,AAA,AA,G,AAA,AAA,AA,G,G,F,F
005C84,AAA,F,F,F,F,G,AA,F,F,G,G,AA,F,F,G,G,F,F,F,F,F
74C9E5,F,AAA,AAA,G,F,F,F,AAA,G,F,F,F,F,F,F,F,F,F,F,F,G
3CBAC6,F,AAA,AAA,G,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,G
B3DBD2,F,AAA,AAA,AA,F,F,F,AAA,AA,F,F,F,F,F,F,F,F,F,F,G,AA
4BB694,F,AA,AAA,F,F,F,F,AA,F,F,F,F,F,F,F,F,F,F,F,F,F
1E8765,G,G,G,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F
C1D100,F,AAA,AAA,G,F,F,F,AAA,G,F,F,F,F,F,F,F,F,F,F,F,G
FCBC00,F,AAA,AAA,G,F,F,F,AAA,G,F,F,F,F,F,F,F,F,F,F,F,G
EF7D00,F,AA,AA,F,F,F,F,AA,F,F,F,F,F,F,F,F,F,F,F,F,F
E73037,G,G,G,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F
E73238,G,G,G,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F
D5007F,AA,G,G,F,F,F,G,F,F,F,F,G,F,F,F,F,F,F,F,F,F
8D3970,AAA,F,F,F,F,G,AA,F,F,G,G,AA,F,F,G,G,F,F,F,F,F
