Ratio,Rating,FG Color,BG Color
1,F,000000,000000
1,F,002060,002060
1,F,0070C0,0070C0
1,F,00B050,00B050
1,F,00B0f0,00B0f0
1,F,7030A0,7030A0
1,F,92D050,92D050
1,F,C00000,C00000
1,F,FF0000,FF0000
1,F,FFC000,FFC000
1,F,FFFF00,FFFF00
1,F,FFFFFF,FFFFFF
1.07,F,FFFF00,FFFFFF
1.07,F,FFFFFF,FFFF00
1.12,F,92D050,FFC000
1.12,F,FFC000,92D050
1.15,F,00B050,00B0f0
1.15,F,00B0f0,00B050
1.23,F,7030A0,C00000
1.23,F,C00000,7030A0
1.25,F,0070C0,C00000
1.25,F,C00000,0070C0
1.28,F,0070C0,FF0000
1.28,F,FF0000,0070C0
1.34,F,00B0f0,92D050
1.34,F,92D050,00B0f0
1.37,F,000000,002060
1.37,F,002060,000000
1.39,F,00B050,FF0000
1.39,F,FF0000,00B050
1.51,F,00B0f0,FFC000
1.51,F,FFC000,00B0f0
1.52,F,FFC000,FFFF00
1.52,F,FFFF00,FFC000
1.55,F,0070C0,7030A0
1.55,F,00B050,92D050
1.55,F,7030A0,0070C0
1.55,F,92D050,00B050
1.61,F,00B0f0,FF0000
1.61,F,FF0000,00B0f0
1.62,F,C00000,FF0000
1.62,F,FF0000,C00000
1.64,F,FFC000,FFFFFF
1.64,F,FFFFFF,FFC000
1.72,F,92D050,FFFF00
1.72,F,FFFF00,92D050
1.74,F,00B050,FFC000
1.74,F,FFC000,00B050
1.79,F,0070C0,00B050
1.79,F,00B050,0070C0
1.84,F,92D050,FFFFFF
1.84,F,FFFFFF,92D050
1.90,F,002060,7030A0
1.90,F,7030A0,002060
2.00,F,7030A0,FF0000
2.00,F,FF0000,7030A0
2.07,F,0070C0,00B0f0
2.07,F,00B0f0,0070C0
2.16,F,92D050,FF0000
2.16,F,FF0000,92D050
2.26,F,00B050,C00000
2.26,F,C00000,00B050
2.30,F,00B0f0,FFFF00
2.30,F,FFFF00,00B0f0
2.35,F,002060,C00000
2.35,F,C00000,002060
2.43,F,FF0000,FFC000
2.43,F,FFC000,FF0000
2.47,F,00B0f0,FFFFFF
2.47,F,FFFFFF,00B0f0
2.61,F,000000,7030A0
2.61,F,00B0f0,C00000
2.61,F,7030A0,000000
2.61,F,C00000,00B0f0
2.66,F,00B050,FFFF00
2.66,F,FFFF00,00B050
2.78,F,0070C0,92D050
2.78,F,92D050,0070C0
2.79,F,00B050,7030A0
2.79,F,7030A0,00B050
2.86,F,00B050,FFFFFF
2.86,F,FFFFFF,00B050
2.96,F,002060,0070C0
2.96,F,0070C0,002060
3.13,G,0070C0,FFC000
3.13,G,FFC000,0070C0
3.23,G,00B0f0,7030A0
3.23,G,7030A0,00B0f0
3.24,G,000000,C00000
3.24,G,C00000,000000
3.50,G,92D050,C00000
3.50,G,C00000,92D050
3.72,G,FF0000,FFFF00
3.72,G,FFFF00,FF0000
3.81,G,002060,FF0000
3.81,G,FF0000,002060
3.94,G,C00000,FFC000
3.94,G,FFC000,C00000
3.99,G,FF0000,FFFFFF
3.99,G,FFFFFF,FF0000
4.07,G,000000,0070C0
4.07,G,0070C0,000000
4.33,G,7030A0,92D050
4.33,G,92D050,7030A0
4.79,AA,0070C0,FFFF00
4.79,AA,FFFF00,0070C0
4.88,AA,7030A0,FFC000
4.88,AA,FFC000,7030A0
5.14,AA,0070C0,FFFFFF
5.14,AA,FFFFFF,0070C0
5.25,AA,000000,FF0000
5.25,AA,FF0000,000000
5.32,AA,002060,00B050
5.32,AA,00B050,002060
6.03,AA,C00000,FFFF00
6.03,AA,FFFF00,C00000
6.15,AA,002060,00B0f0
6.15,AA,00B0f0,002060
6.47,AA,C00000,FFFFFF
6.47,AA,FFFFFF,C00000
7.32,AAA,000000,00B050
7.32,AAA,00B050,000000
7.46,AAA,7030A0,FFFF00
7.46,AAA,FFFF00,7030A0
8.01,AAA,7030A0,FFFFFF
8.01,AAA,FFFFFF,7030A0
8.25,AAA,002060,92D050
8.25,AAA,92D050,002060
8.46,AAA,000000,00B0f0
8.46,AAA,00B0f0,000000
9.29,AAA,002060,FFC000
9.29,AAA,FFC000,002060
11.3,AAA,000000,92D050
11.3,AAA,92D050,000000
12.7,AAA,000000,FFC000
12.7,AAA,FFC000,000000
14.2,AAA,002060,FFFF00
14.2,AAA,FFFF00,002060
15.2,AAA,002060,FFFFFF
15.2,AAA,FFFFFF,002060
19.5,AAA,000000,FFFF00
19.5,AAA,FFFF00,000000
21,AAA,000000,FFFFFF
21,AAA,FFFFFF,000000
