   ,000000,FFFFFF,C00000,FF0000,FFC000,FFFF00,92D050,00B050,00B0f0,0070C0,002060,7030A0
000000,F,AAA,G,AA,AAA,AAA,AAA,AAA,AAA,G,F,F
FFFFFF,AAA,F,AA,G,F,F,F,F,F,AA,AAA,AAA
C00000,G,AA,F,F,G,AA,G,F,F,F,F,F
FF0000,AA,G,F,F,F,G,F,F,F,F,G,F
FFC000,AAA,F,G,F,F,F,F,F,F,G,AAA,AA
FFFF00,AAA,F,AA,G,F,F,F,F,F,AA,AAA,AAA
92D050,AAA,F,G,F,F,F,F,F,F,F,AAA,G
00B050,AAA,F,F,F,F,F,F,F,F,F,AA,F
00B0f0,AAA,F,F,F,F,F,F,F,F,F,AA,G
0070C0,G,AA,F,F,G,AA,F,F,F,F,F,F
002060,F,AAA,F,G,AAA,AAA,AAA,AA,AA,F,F,F
7030A0,F,AAA,F,F,AA,AAA,G,F,G,F,F,F
