   ,FFFFFF,E1E8EC,9FB1BD,495961,758D9A,231F20,005C48,74C9E5,3CBAC6,B3DBD2,4BB694,C1D100,FCBC00,EF7D00,E73037,D5007F,8D3970,002E3B,1E8765,E73238
FFFFFF,F,F,F,AAA,G,AAA,AAA,F,F,F,F,F,F,F,G,AA,AAA,AAA,G,G
E1E8EC,F,F,F,AA,F,AAA,AA,F,F,F,F,F,F,F,G,G,AA,AAA,G,G
9FB1BD,F,F,F,G,F,AAA,G,F,F,F,F,F,F,F,F,F,G,AA,F,F
495961,AAA,AA,G,F,F,F,F,G,G,AA,F,G,G,F,F,F,F,F,F,F
758D9A,G,F,F,F,F,AA,F,F,F,F,F,F,F,F,F,F,F,G,F,F
231F20,AAA,AAA,AAA,F,AA,F,F,AAA,AAA,AAA,AA,AAA,AAA,AA,G,G,F,F,G,G
005C48,AAA,AA,G,F,F,F,F,G,G,AA,G,AA,AA,F,F,F,F,F,F,F
74C9E5,F,F,F,G,F,AAA,G,F,F,F,F,F,F,F,F,F,G,AAA,F,F
3CBAC6,F,F,F,G,F,AAA,G,F,F,F,F,F,F,F,F,F,G,AA,F,F
B3DBD2,F,F,F,AA,F,AAA,AA,F,F,F,F,F,F,F,F,G,AA,AAA,F,F
4BB694,F,F,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,AA,F,F
C1D100,F,F,F,G,F,AAA,AA,F,F,F,F,F,F,F,F,F,G,AAA,F,F
FCBC00,F,F,F,G,F,AAA,AA,F,F,F,F,F,F,F,F,F,G,AAA,F,F
EF7D00,F,F,F,F,F,AA,F,F,F,F,F,F,F,F,F,F,F,AA,F,F
E73037,G,G,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,G,F,F
D5007F,AA,G,F,F,F,G,F,F,F,G,F,F,F,F,F,F,F,F,F,F
8D3970,AAA,AA,G,F,F,F,F,G,G,AA,F,G,G,F,F,F,F,F,F,F
002E3B,AAA,AAA,AA,F,G,F,F,AAA,AA,AAA,AA,AAA,AAA,AA,G,F,F,F,G,G
1E8765,G,G,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,G,F,F
E73238,G,G,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,G,F,F
