   ,FFFFFF,00131D,495961,E1E8EC,002E3B,005C84,B3DBD2,1E8765,C1D100,FCBC00,E73238,8D3970
FFFFFF,F,AAA,AAA,F,AAA,AAA,F,G,F,F,G,AAA
00131D,AAA,F,F,AAA,F,F,AAA,G,AAA,AAA,G,F
495961,AAA,F,F,AA,F,F,AA,F,G,G,F,F
E1E8EC,F,AAA,AA,F,AAA,AA,F,G,F,F,G,AA
002E3B,AAA,F,F,AAA,F,F,AAA,G,AAA,AAA,G,F
005C84,AAA,F,F,AA,F,F,AA,F,G,G,F,F
B3DBD2,F,AAA,AA,F,AAA,AA,F,F,F,F,F,AA
1E8765,G,G,F,G,G,F,F,F,F,F,F,F
C1D100,F,AAA,G,F,AAA,G,F,F,F,F,F,G
FCBC00,F,AAA,G,F,AAA,G,F,F,F,F,F,G
E73238,G,G,F,G,G,F,F,F,F,F,F,F
8D3970,AAA,F,F,AA,F,F,AA,F,G,G,F,F
