   ,FFFFFF,231F20,00131D,002E3B,FCBC00,D5007F,8D3970,B3DBD2,4BB694
FFFFFF,1,16.3,18.9,14.4,1.70,5.07,7.11,1.50,2.49
231F20,16.3,1,1.15,1.12,9.57,3.21,2.29,10.8,6.53
00131D,18.9,1.15,1,1.30,11.1,3.72,2.65,12.5,7.57
002E3B,14.4,1.12,1.30,1,8.48,2.84,2.03,9.61,5.78
FCBC00,1.70,9.57,11.1,8.48,1,2.98,4.17,1.13,1.46
D5007F,5.07,3.21,3.72,2.84,2.98,1,1.40,3.38,2.03
8D3970,7.11,2.29,2.65,2.03,4.17,1.40,1,4.73,2.85
B3DBD2,1.50,10.8,12.5,9.61,1.13,3.38,4.73,1,1.66
4BB694,2.49,6.53,7.57,5.78,1.46,2.03,2.85,1.66,1
