   ,E0DD00,000000,231F20,00131D,E3E4EA,5A7A5E,E8A07B,C2AED0,B6D7A3,FAC07E,B3DBCB,D7AD04,E88F79,EC6907,F2F2F2
E0DD00,F,AAA,AAA,AAA,F,G,F,F,F,F,F,F,F,F,F
000000,AAA,F,F,F,AAA,G,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA,AAA
231F20,AAA,F,F,F,AAA,G,AAA,AAA,AAA,AAA,AAA,AAA,AA,AA,AAA
00131D,AAA,F,F,F,AAA,G,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AA,AAA
E3E4EA,F,AAA,AAA,AAA,F,G,F,F,F,F,F,F,F,F,F
5A7A5E,G,G,G,G,G,F,F,F,G,F,G,F,F,F,G
E8A07B,F,AAA,AAA,AAA,F,F,F,F,F,F,F,F,F,F,F
C2AED0,F,AAA,AAA,AAA,F,F,F,F,F,F,F,F,F,F,F
B6D7A3,F,AAA,AAA,AAA,F,G,F,F,F,F,F,F,F,F,F
FAC07E,F,AAA,AAA,AAA,F,F,F,F,F,F,F,F,F,F,F
B3DBCB,F,AAA,AAA,AAA,F,G,F,F,F,F,F,F,F,F,F
D7AD04,F,AAA,AAA,AAA,F,F,F,F,F,F,F,F,F,F,F
E88F79,F,AAA,AA,AAA,F,F,F,F,F,F,F,F,F,F,F
EC6907,F,AA,AA,AA,F,F,F,F,F,F,F,F,F,F,F
F2F2F2,F,AAA,AAA,AAA,F,G,F,F,F,F,F,F,F,F,F
