   ,E31837,000000,FFFFFF,AF0D1A,810001,3AC2EF,ACE6F8,E1DFDC,D6CFCA,B7AEA9,686260
E31837,1,4.45,4.71,1.53,2.30,2.27,3.46,3.54,3.06,2.16,1.27
000000,4.45,1,21,2.89,1.93,10.1,15.4,15.7,13.6,9.64,3.50
FFFFFF,4.71,21,1,7.25,10.8,2.07,1.36,1.32,1.53,2.17,5.99
AF0D1A,1.53,2.89,7.25,1,1.49,3.50,5.32,5.45,4.71,3.32,1.21
810001,2.30,1.93,10.8,1.49,1,5.24,7.97,8.16,7.05,4.98,1.81
3AC2EF,2.27,10.1,2.07,3.50,5.24,1,1.52,1.55,1.34,1.05,2.89
ACE6F8,3.46,15.4,1.36,5.32,7.97,1.52,1,1.02,1.13,1.60,4.40
E1DFDC,3.54,15.7,1.32,5.45,8.16,1.55,1.02,1,1.15,1.63,4.50
D6CFCA,3.06,13.6,1.53,4.71,7.05,1.34,1.13,1.15,1,1.41,3.89
B7AEA9,2.16,9.64,2.17,3.32,4.98,1.05,1.60,1.63,1.41,1,2.75
686260,1.27,3.50,5.99,1.21,1.81,2.89,4.40,4.50,3.89,2.75,1
